,AREA TERRITORIAL,CODIGO CENTRO,TIPO DE CENTRO,CENTRO,DOMICILIO,MUNICIPIO,DISTRITO MUNICIPAL,COD. POSTAL,TELEFONO,FAX,EMAIL,EMAIL2,TITULARIDAD,TIPO,latitudes,longitudes,calle
1277,Madrid-Este,28041809,CP INF-PRI,UNO DE MAYO,"Calle Budapest, 2 ",Torrejón de Ardoz,-,28850,916770068,916566511,cp.unodemayo.torrejondeardoz@educa.madrid.org,-,Público,Primaria,40.4140328,-3.5534956,"Calle Budapest, 2 "
1278,Madrid-Norte,28040881,CP INF-PRI,V CENTENARIO,"Calle Del Real, 116 ",San Sebastián de los Reyes,-,28703,916539270,-,cp.quintocentenario.sansebastian@educa.madrid.org,-,Público,Primaria,40.3630906,-3.7403178,"Calle Del Real, 116 "
1279,Madrid-Capital,28045098,CP INF-PRI,VALDEBERNARDO,"Calle Del Tren De Arganda, 9 ",Madrid,Vicálvaro,28032,913713523,913051773,cp.valdebernardo.madrid@educa.madrid.org,-,Público,Primaria,40.404030750000004,-3.6184233756112683,"Calle Del Tren De Arganda, 9 "
1280,Madrid-Este,28025440,CP INF-PRI,VALDEMERA,"Calle San Antonio, 6 ",Velilla de San Antonio,-,28891,916608806,916608006,cp.valdemera.velilla@educa.madrid.org,-,Público,Primaria,40.59997175,-3.9875616041868573,"Calle San Antonio, 6 "
1281,Madrid-Norte,28030824,CP INF-PRI,VALDEPALITOS,"Calle De La Constitución, 127 ",Alcobendas,-,28100,916536638,912293733,cp.valdepalitos.alcobendas@educa.madrid.org,-,Público,Primaria,40.2802668,-3.7776979,"Calle De La Constitución, 127 "
1282,Madrid-Norte,28042802,CP INF-PRI,VALDERREY,"Calle De Baleares, 2 ",Algete,-,28110,916282531,916290402,cp.valderrey.algete@educa.madrid.org,-,Público,Primaria,40.3332846,-3.7753242,"Calle De Baleares, 2 "
1283,Madrid-Capital,28004941,CP INF-PRI,VASCO NUÑEZ DE BALBOA,"Calle De Nuestra Señora De Valverde, 149 ",Madrid,Fuencarral-El Pardo,28034,917343267,917355336,cp.nunezdebalboa.madrid@educa.madrid.org,-,Público,Primaria,40.49950655000001,-3.686600965197888,"Calle De Nuestra Señora De Valverde, 149 "
1284,Madrid-Capital,28011040,CP INF-PRI,VAZQUEZ DE MELLA,"Calle De Bailén, 18 ",Madrid,Centro,28005,913654878,913665312,cp.vazquezdemella.madrid@educa.madrid.org,-,Público,Primaria,40.41217825,-3.714129627729865,"Calle De Bailén, 18 "
1285,Madrid-Sur,28002166,CP INF-PRI,VENTURA RODRIGUEZ,"Calle Fernandez Vitorio, 12 ",Ciempozuelos,-,28350,918930294,918930294,cp.venturarodriguez.ciempozuelos@educa.madrid.org,-,Público,Primaria,N/A,N/A,"Calle Fernandez Vitorio, 12 "
1286,Madrid-Oeste,28002129,CP INF-PRI,VIA ROMANA,"Avenida Blanca Fernández Ochoa, 5 ",Cercedilla,-,28470,918520575,918520575,cp.viaromana.cercedilla@educa.madrid.org,-,Público,Primaria,40.7396225,-4.0513334,"Avenida Blanca Fernández Ochoa, 5 "
1287,Madrid-Capital,28030411,CP INF-PRI,VICALVARO,"Calle De Forges, 15 ",Madrid,Vicálvaro,28032,917769938,913718488,cp.vicalvaro.madrid@educa.madrid.org,-,Público,Primaria,40.4054079,-3.601320448676798,"Calle De Forges, 15 "
1288,Madrid-Sur,28028805,CP INF-PRI,VICENTE ALEIXANDRE,"Calle De Polvoranca, 35 ",Alcorcón,-,28923,916190848,916112012,cp.vicentealeixandre.alcorcon@educa.madrid.org,-,Público,Primaria,40.3422736,-3.8197263,"Calle De Polvoranca, 35 "
1289,Madrid-Sur,28035585,CP INF-PRI,VICENTE ALEIXANDRE,"Calle Nueva York, 14 ",Móstoles,-,28938,916452799,916464097,cp.vicentealeixandre.mostoles@educa.madrid.org,-,Público,Primaria,40.316828,-3.8569269,"Calle Nueva York, 14 "
1290,Madrid-Este,28026602,CP INF-PRI,VICENTE ALEIXANDRE,"Calle Silicio, 25 ",Torrejón de Ardoz,-,28850,916763011,916556160,cp.vicentealeixand.torrejondeardoz@educa.madrid.org,www.educa2.madrid.org/web/centro.cp.vicentealeixand.torrejondeardoz,Público,Primaria,40.6255576,-4.0204474,"Calle Silicio, 25 "
1291,Madrid-Oeste,28034040,CP INF-PRI,VICENTE ALEIXANDRE,"Cuesta De San Francisco, 19 ","Rozas de Madrid, Las",-,28231,916371296,917105409,cp.vicentealeixandre.lasrozas@educa.madrid.org,-,Público,Primaria,40.4922807,-3.8702473,"Cuesta De San Francisco, 19 "
1292,Madrid-Sur,28025351,CP INF-PRI,VICENTE ALEIXANDRE,"Calle Pizarro, 3 ",Valdemoro,-,28342,918095481,918095481,cp.vicentealeixandre.valdemoro@educa.madrid.org,-,Público,Primaria,40.4226979,-3.7062574,"Calle Pizarro, 3 "
1293,Madrid-Sur,28001551,CP INF-PRI,VICENTE ALEIXANDRE,"Calle Del Príncipe, 38 ",Aranjuez,-,28300,918912625,918920571,cp.vicentealeixandre.aranjuez@educa.madrid.org,-,Público,Primaria,40.0354541,-3.5994794,"Calle Del Príncipe, 38 "
1294,Madrid-Sur,28039773,CP INF-PRI,VICENTE BLASCO IBAÑEZ,"Calle Cuba, 15 ",Fuenlabrada,-,28945,916976437,916907263,cp.blascoibanez.fuenlabrada@educa.madrid.org,-,Público,Primaria,40.2102853,-3.5837297,"Calle Cuba, 15 "
1295,Madrid-Sur,28067574,CP INF-PRI,VICENTE FERRER,"Avenida Salvador Allende, 10 ",Getafe,-,28907,914914339,914914602,cp.vicenteferrer.getafe@educa.madrid.org,-,Público,Primaria,N/A,N/A,"Avenida Salvador Allende, 10 "
1296,Madrid-Sur,28069728,CP INF-PRI,VICTOR JARA,"Avenida De Las Naciones, 45 ",Fuenlabrada,-,28943,916072888,916083655,cp.victorjara.fuenlabrada@educa.madrid.org,-,Público,Primaria,40.27925115,-3.8043790269696753,"Avenida De Las Naciones, 45 "
1297,Madrid-Sur,28003791,CP INF-PRI,VICTOR PRADERA,"Calle Monegros, 27 ",Leganés,-,28915,916886959,916873991,cp.victorpradera.leganes@educa.madrid.org,-,Público,Primaria,40.3388353,-3.752057,"Calle Monegros, 27 "
1298,Madrid-Este,28040015,CP INF-PRI,VICTORIA KENT,"Paseo De La Chopera, 7 ",Rivas-Vaciamadrid,-,28523,916662299,916661652,cp.victoriakent.rivas@educa.madrid.org,-,Público,Primaria,40.3966346,-3.7017755,"Paseo De La Chopera, 7 "
1299,Madrid-Oeste,28003456,CP INF-PRI,VILLA DE GUADARRAMA,"Calle De Los Dos Escoriales, 11 ",Guadarrama,-,28440,918541017,918540301,cp.villadeguadarrama.guadarrama@educa.madrid.org,-,Público,Primaria,N/A,N/A,"Calle De Los Dos Escoriales, 11 "
1300,Madrid-Este,28033734,CP INF-PRI,VILLALAR,"Avenida De Berlín, 2 ",Coslada,-,28822,916731573,916731573,cp.villalar.coslada@educa.madrid.org,-,Público,Primaria,40.4207374,-3.5389204,"Avenida De Berlín, 2 "
1301,Madrid-Este,28024307,CP INF-PRI,VILLAR PALASI,"Carretera Mejorada, S/n ",San Fernando de Henares,-,28830,916721132,916693061,cp.villarpalasi.sanfernando@educa.madrid.org,-,Público,Primaria,40.4229468,-3.5325473,Carretera Mejorada  
1302,Madrid-Oeste,28003481,CP INF-PRI,VIRGEN DE LA ENCINA,"Calle Hurtada, 57 ",Hoyo de Manzanares,-,28240,918566179,918568392,cp.encina.hoyodemanzanares@educa.madrid.org,-,Público,Primaria,40.622319,-3.9042022,"Calle Hurtada, 57 "
1303,Madrid-Sur,28024502,CP INF-PRI,VIRGEN DE LA NUEVA,"Calle Del Dr F Rodríguez De La Fuente, 2 ",San Martín de Valdeiglesias,-,28680,918610552,918611802,cp.delanueva.sanmartindevaldeiglesias@educa.madrid.org,cp.virgen.de.la.nueva@centros2.pntic.mec.es,Público,Primaria,N/A,N/A,"Calle Del Dr F Rodríguez De La Fuente, 2 "
1304,Madrid-Oeste,28002361,CP INF-PRI,VIRGEN DE LA PAZ,"Calle De Goya, 5 ",Collado Mediano,-,28450,918557007,918557007,cp.delapaz.colladomediano@educa.madrid.org,cpvirgendelapaz@hotmail.com,Público,Primaria,40.4257238,-3.6888408,"Calle De Goya, 5 "
1305,Madrid-Norte,28022864,CP INF-PRI,VIRGEN DE LA PEÑA SACRA,"Calle De Segovia, 9 ",Manzanares el Real,-,28410,918530566,918530566,cp.penasacra.manzanares@educa.madrid.org,-,Público,Primaria,40.0580986,-3.6042467,"Calle De Segovia, 9 "
1306,Madrid-Este,28023443,CP INF-PRI,VIRGEN DE LA RIBERA FUND. HNOS.,"Calle Torrelaguna, 23 ",Paracuellos de Jarama,-,28860,916580244,916580244,cp.ribera.paracuellos@educa.madrid.org,-,Público,Primaria,40.5090836,-3.5319721,"Calle Torrelaguna, 23 "
1307,Madrid-Norte,28002282,CP INF-PRI,VIRGEN DE LOS REMEDIOS,"Avenida De La Libertad, 3 ",Colmenar Viejo,-,28770,918452097,918459203,cp.remedios.colmenarviejo@educa.madrid.org,info@virgenremedios.com,Público,Primaria,40.6619983,-3.7675023,"Avenida De La Libertad, 3 "
1308,Madrid-Norte,28024253,CP INF-PRI,VIRGEN DE NAVALAZARZA,"Calle Extremadura, 2 ",San Agustín del Guadalix,-,28750,918418643,918435129,cp.navalazarza.sanagustin@educa.madrid.org,-,Público,Primaria,40.4322078,-3.5276907075822024,"Calle Extremadura, 2 "
1309,Madrid-Norte,28043041,CP INF-PRI,VIRGEN DE VALDERRABE,"Calle Chile, 26 ",Algete,-,28110,916280514,916293466,cp.valderrabe.algete@educa.madrid.org,-,Público,Primaria,40.423913549999995,-3.5571650977181823,"Calle Chile, 26 "
1310,Madrid-Sur,28023546,CP INF-PRI,VIRGEN DEL CARMEN,"Calle Fuenlabrada, S/n ",Parla,-,28981,916994913,916056141,cp.carmen.parla@educa.madrid.org,-,Público,Primaria,40.2419469,-3.7733907,Calle Fuenlabrada  
1311,Madrid-Capital,28025981,CP INF-PRI,VIRGEN DEL CERRO,"Calle De Mohernando, 1 ",Madrid,Puente de Vallecas,28038,917785083,917784994,cp.cerro.madrid@educa.madrid.org,-,Público,Primaria,40.39628115,-3.648844392508142,"Calle De Mohernando, 1 "
1312,Madrid-Sur,28002191,CP INF-PRI,VIRGEN DEL CONSUELO,"Calle De Los Jardines, 10 ",Ciempozuelos,-,28350,918930051,918934567,cp.consuelo.ciempozuelos@educa.madrid.org,-,Público,Primaria,40.4189103,-3.7013451,"Calle De Los Jardines, 10 "
1313,Madrid-Capital,28031075,CP INF-PRI,VIRGEN DEL CORTIJO,"Avenida De Manoteras, 41 ",Madrid,Hortaleza,28050,917661215,913844438,cp.cortijo.madrid@educa.madrid.org,-,Público,Primaria,40.4878764,-3.6641765,"Avenida De Manoteras, 41 "
1314,Madrid-Sur,28024848,CP INF-PRI,VIRGEN DEL ROSARIO,"Calle De La Era, 12 ",Titulcia,-,28359,918010290,918010290,cp.rosario.titulcia@educa.madrid.org,-,Público,Primaria,40.4323963,-3.301939,"Calle De La Era, 12 "
1315,Madrid-Norte,28024800,CP INF-PRI,VIRGEN DEL ROSARIO,"Calle Orden-prado Real, 1 ",Soto del Real,-,28791,918478141,918479353,cp.rosario.soto@educa.madrid.org,-,Público,Primaria,N/A,N/A,"Calle Orden-prado Real, 1 "
1316,Madrid-Este,28073941,CP INF-PRI,WILLIAM SHAKESPEARE,"Calle Puerto De Bilbao, 1 ",Coslada,-,28821,910558150,-,cp.williamshakespeare.coslada@educa.madrid.org,-,Público,Primaria,40.41729345,-3.5753343975015124,"Calle Puerto De Bilbao, 1 "
1317,Madrid-Capital,28066090,CP INF-PRI,WINSTON CHURCHILL,"Avenida De La Gran Vía Del Este, 5 ",Madrid,Vicálvaro,28032,913369597,917604921,cp.winstonchurchill.madrid@educa.madrid.org,-,Público,Primaria,40.3970256,-3.6027455,"Avenida De La Gran Vía Del Este, 5 "
1318,Madrid-Sur,28078602,CP INF-PRI,YVONNE BLAKE,Calle Medicina Esquina Camino De San Marcos ,Fuenlabrada,-,28942,915312655,-,cp.yvonneblake.fuenlabrada@educa.madrid.org,-,Público,Primaria,N/A,N/A,Calle Medicina Esquina Camino De San Marcos 
1319,Madrid-Oeste,28060816,CIMELPR PRSEC,PADRE ANTONIO SOLER,"Calle Floridablanca, 3 ",San Lorenzo de El Escorial,-,28200,918903611,918905994,cim.sanlorenzo@educa.madrid.org,-,Público,Primaria,40.590511649999996,-4.147427392420516,"Calle Floridablanca, 3 "
1320,Madrid-Capital,28065711,CIMPR SEC,FEDERICO MORENO TORROBA,"Calle Del General Ricardos, 177 ",Madrid,Carabanchel,28025,914698614,915650151,cim.morenotorroba.madrid@educa.madrid.org,-,Público,Primaria,40.38202875,-3.736474014729084,"Calle Del General Ricardos, 177 "
1321,Madrid-Sur,28037624,CP EE,ALFONSO X EL SABIO,"Avenida De Portugal, 21 ",Leganés,-,28916,916865475,916806499,cpee.alfonsodecimo.leganes@educa.madrid.org,-,Público,Primaria,40.5995092,-3.9706067420734925,"Avenida De Portugal, 21 "
1322,Madrid-Capital,28021161,CP EE,FRANCISCO DEL POZO,"Callejon De Dómine, 6 ",Madrid,Fuencarral-El Pardo,28034,913584287,913580485,cpee.franciscodelpozo.madrid@educa.madrid.org,-,Público,Primaria,N/A,N/A,"Callejon De Dómine, 6 "
1323,Madrid-Capital,28005428,CP EE,FRAY PEDRO PONCE DE LEON,"Calle De Los Yébenes, 76 ",Madrid,Latina,28047,917178866,917178866,cpee.poncedeleon.madrid@educa.madrid.org,EDIFICIO TRANSICIÓN VIDA ADULTA,Público,Primaria,40.393277,-3.7504094,"Calle De Los Yébenes, 76 "
1324,Madrid-Capital,28021173,CP EE,FUNDACION GOYENECHE,"Calle De Arcos De Jalón, 22 ",Madrid,San Blas-Canillejas,28037,913240763,911911465,cpee.goyeneche.madrid@educa.madrid.org,-,Público,Primaria,40.4223645,-3.6253985,"Calle De Arcos De Jalón, 22 "
1325,Madrid-Este,28037818,CP EE,GUADARRAMA,"Avenida De España, S/n ",Coslada,-,28821,916712793,916712793,cpee.guadarrama.coslada@educa.madrid.org,-,Público,Primaria,40.4222855,-3.5666288,Avenida De España  
1326,Madrid-Este,28080487,CP EE,IKER CASILLAS,"Calle Almagro, Esquina Avda.de La Constitución, S/n ",Torrejón de Ardoz,-,28850,648942796,-,cpee.ikercasillas.torrejondeardoz@educa.madrid.org,-,Público,Primaria,N/A,N/A,"Calle Almagro, Esquina Avda.de La Constitución  "
1327,Madrid-Capital,28036942,CP EE,INFANTA ELENA,"Avenida De Badajoz, 76 ",Madrid,Ciudad Lineal,28027,914038345,914048312,cpee.infantaelena.madrid@educa.madrid.org,-,Público,Primaria,40.4438938,-3.6492584,"Avenida De Badajoz, 76 "
1328,Madrid-Capital,28029664,CP EE,INMACULADA CONCEPCION,"Calle De Saldaña, 30 ",Madrid,Carabanchel,28019,914715093,914724692,cpee.inmaculadaconcepcion.madrid@educa.madrid.org,-,Público,Primaria,40.3905609,-3.727368,"Calle De Saldaña, 30 "
1329,Madrid-Capital,28037387,CP EE,JOAN MIRO,"Avenida De Los Poblados, 183 ",Madrid,Usera,28041,913173341,913173341,cpee.joanmiro.madrid@educa.madrid.org,-,Público,Primaria,40.3714156,-3.6971292705026455,"Avenida De Los Poblados, 183 "
1330,Madrid-Sur,28039323,CP EE,JUAN XXIII,"Avenida De Las Comarcas, 2 ",Fuenlabrada,-,28941,916151198,916065006,cpee.juanveintitres.fuenlabrada@educa.madrid.org,-,Público,Primaria,40.2972465,-3.7977127948917575,"Avenida De Las Comarcas, 2 "
1331,Madrid-Capital,28039116,CP EE,LA QUINTA,"Carretera De Somontes Al Palacio De La Quinta, 1 ",Madrid,Fuencarral-El Pardo,28048,913760579,913760400,cpee.laquinta.madrid@educa.madrid.org,-,Público,Primaria,N/A,N/A,"Carretera De Somontes Al Palacio De La Quinta, 1 "
1332,Madrid-Sur,28033564,CP EE,MARIA MONTESSORI,"Avenida De América, 49 ",Parla,-,28983,916054622,916992954,cpee.montessori.parla@educa.madrid.org,-,Público,Primaria,40.441964799999994,-3.6677276131853844,"Avenida De América, 49 "
1333,Madrid-Capital,28005556,CP EE,MARIA SORIANO,"Avenida De La Peseta, 30 ",Madrid,Carabanchel,28054,914624600,914628444,cpee.mariasoriano.madrid@educa.madrid.org,-,Público,Primaria,40.362362399999995,-3.7622163296413382,"Avenida De La Peseta, 30 "
1334,Madrid-Sur,28036310,CP EE,MIGUEL DE UNAMUNO,"Calle Del Gran Capitán, 19 ",Móstoles,-,28933,916183969,916145323,cpee.unamuno.mostoles@educa.madrid.org,-,Público,Primaria,40.2455976,-3.6969588,"Calle Del Gran Capitán, 19 "
1335,Madrid-Norte,28040994,CP EE,MIGUEL HERNANDEZ,"Calle De Mariano Prados, 6 ",Colmenar Viejo,-,28770,918462581,918459201,cpee.miguelhernandez.colmenarviejo@educa.madrid.org,-,Público,Primaria,40.6590121,-3.7636507,"Calle De Mariano Prados, 6 "
1336,Madrid-Oeste,28058585,CP EE,MONTE ABANTOS,"Avenida Esparta, 56 ","Rozas de Madrid, Las",-,28232,916402419,916402419,cpee.monteabantos.lasrozas@educa.madrid.org,-,Público,Primaria,40.5191466,-3.9057726,"Avenida Esparta, 56 "
1337,Madrid-Este,28033515,CP EE,PABLO PICASSO,"Avenida De Castilla, 29 ",Alcalá de Henares,-,28804,918884094,918820233,cpee.picasso.alcala@educa.madrid.org,-,Público,Primaria,40.454852599999995,-3.4960696161713987,"Avenida De Castilla, 29 "
1338,Madrid-Oeste,28039335,CP EE,PEÑALARA,"Calle Dehesa Boyal, S/n ",Collado Villalba,-,28400,918511641,918511641,cpee.penalara.colladovillalba@educa.madrid.org,-,Público,Primaria,N/A,N/A,Calle Dehesa Boyal  
1339,Madrid-Capital,28021151,CP EE,PRINCESA SOFIA,"Carretera De Canillas, 51 ",Madrid,Hortaleza,28043,913883106,913881650,cpee.princesasofia.madrid@educa.madrid.org,-,Público,Primaria,40.4660505,-3.6382037,"Carretera De Canillas, 51 "
1340,Madrid-Sur,28001642,CP EE,PRINCIPE DE ASTURIAS,"Calle Zorzales, 11 ",Aranjuez,-,28300,918915378,918915378,cpee.principedeasturias.aranjuez@educa.madrid.org,-,Público,Primaria,40.0304359,-3.6104455,"Calle Zorzales, 11 "
1341,Madrid-Este,28078560,CP EE,ROSA PARKS,"Avenida De Berlín, 24 ",Coslada,-,28822,914851631,-,cpee.rosaparks.coslada@educa.madrid.org,-,Público,Primaria,40.4179473,-3.5434045,"Avenida De Berlín, 24 "
1342,Madrid-Sur,28076319,CP EE,SANTIAGO RAMON Y CAJAL,Avenida Vereda Del Camuerzo ,Getafe,-,28905,606728808,-,cpee.ramonycajal.getafe@educa.madrid.org,-,Público,Primaria,N/A,N/A,Avenida Vereda Del Camuerzo 
1343,Madrid-Sur,28036309,CP EE,SEVERO OCHOA,"Calle De Los Robles, 4 ",Alcorcón,-,28922,916442117,916431328,cpee.severoochoa.alcorcon@educa.madrid.org,-,Público,Primaria,40.3445481,-3.8356526,"Calle De Los Robles, 4 "
1344,Madrid-Sur,28069704,CP EE,SOR JUANA INES DE LA CRUZ,"Calle De Reinosa, 26 ",Fuenlabrada,-,28942,916856829,916909481,cpee.sorjuanainesdelacruz.fuenlabrada@educa.madrid.org,-,Público,Primaria,40.2954371,-3.8057661,"Calle De Reinosa, 26 "
1345,Madrid-Capital,28029241,CP EE,VALLECAS,Avenida Mediterráneo (avda.del Campus Sur) ,Madrid,Villa de Vallecas,28031,913313135,913313471,cpee.vallecas.madrid@educa.madrid.org,-,Público,Primaria,N/A,N/A,Avenida Mediterráneo (avda.del Campus Sur) 
1346,Madrid-Norte,28028076,CP EE,VICENTE FERRER,"Calle Emilia Pardo Bazán, 1 ",San Sebastián de los Reyes,-,28702,916510025,916679749,cpee.vicenteferrer.sansebastian@educa.madrid.org,-,Público,Primaria,40.5031533,-3.373332278105303,"Calle Emilia Pardo Bazán, 1 "
1347,Madrid-Sur,28030204,CEPA,AGUSTINA DE ARAGON,"Calle Camino De Humanes, 63 ",Móstoles,-,28936,916852466,916852228,cepa.mostoles@educa.madrid.org,-,Público,Primaria,40.312806,-3.8567228,"Calle Camino De Humanes, 63 "
1348,Madrid-Sur,28045360,CEPA,ALFAR,"Calle Del Cabo San Vicente, 1 ",Alcorcón,-,28924,916102917,-,cepa.alcorcon@educa.madrid.org,Alfar_sec@terra.es,Público,Primaria,40.3523514,-3.8151036,"Calle Del Cabo San Vicente, 1 "
1349,Madrid-Oeste,28059395,CEPA,ALMAJAN,"Avenida De Torrelodones (edificio Torreforum), 8 ",Torrelodones,-,28250,918596524,918596525,cepa.torrelodones@educa.madrid.org,-,Público,Primaria,N/A,N/A,"Avenida De Torrelodones (edificio Torreforum), 8 "
1350,Madrid-Capital,28030125,CEPA,ALUCHE,"Calle De Ocaña, 35bis ",Madrid,Latina,28047,917179100,917171035,cepa.aluche.madrid@educa.madrid.org,cepa.aluche.madrid@educa.madrid.org,Público,Primaria,40.3889865,-3.7521467,"Calle De Ocaña, 35bis "
1351,Madrid-Capital,28045608,CEPA,ARGANZUELA,"Calle De La Batalla Del Salado, 29 ",Madrid,Arganzuela,28045,915395395,915395395,cepa.arganzuela.madrid@educa.madrid.org,-,Público,Primaria,40.4020104,-3.6960311,"Calle De La Batalla Del Salado, 29 "
1352,Madrid-Norte,28045463,CEPA,ATALAYAS,"Calle De La Macarena, 13 ","Molar, El",-,28710,918412095,918410728,cepa.elmolar@educa.madrid.org,-,Público,Primaria,40.4617761,-3.6779003,"Calle De La Macarena, 13 "
1353,Madrid-Norte,28059401,CEPA,BUITRAGO DE LOZOYA,"Calle De La Fuente De Arriba, 1 ",Buitrago del Lozoya,-,28730,918680487,918680487,cepa.buitrago@educa.madrid.org,-,Público,Primaria,40.9931089,-3.638957,"Calle De La Fuente De Arriba, 1 "
1354,Madrid-Capital,28043259,CEPA,CANILLEJAS,"Calle De Las Musas, 11 ",Madrid,San Blas-Canillejas,28022,917411860,913200943,cepa.canillejas.madrid@educa.madrid.org,-,Público,Primaria,40.4373479,-3.6082446,"Calle De Las Musas, 11 "
1355,Madrid-Sur,28030101,CEPA,CASA DE LA CULTURA,"Calle Guadalajara, 3 ",Getafe,-,28901,916959798,916960340,cepa.getafe@educa.madrid.org,cepa.getafe@madrid.org,Público,Primaria,40.3443415,-3.8290717999999995,"Calle Guadalajara, 3 "
1356,Madrid-Capital,28045268,CEPA,CID CAMPEADOR LAS AGUILAS - CUATRO VIENTOS,"Calle De Anselmo Lorenzo, 12 ",Madrid,Latina,28044,917058402,915095174,cepa.cidcampeador.madrid@educa.madrid.org,-,Público,Primaria,40.3815339,-3.7698036,"Calle De Anselmo Lorenzo, 12 "
1357,Madrid-Capital,28045271,CEPA,CIUDAD LINEAL,"Calle Hnos García Noblejas (acceso Por Luis Campos), 70 ",Madrid,Ciudad Lineal,28017,917545206,913045783,cepa.ciudadlineal.madrid@educa.madrid.org,-,Público,Primaria,N/A,N/A,"Calle Hnos García Noblejas (acceso Por Luis Campos), 70 "
1358,Madrid-Norte,28038641,CEPA,COLMENAR VIEJO,"Plaza De Eulogio Carrasco, S/n ",Colmenar Viejo,-,28770,918458620,918463617,cepa.colmenarviejo@educa.madrid.org,cepa.colmenarviejo@educa.ma,Público,Primaria,40.6587086,-3.7679034,Plaza De Eulogio Carrasco  
1359,Madrid-Este,28038631,CEPA,COSLADA,"Avenida De La Cañada, 44 ",Coslada,-,28823,916726226,916746049,cepa.coslada@educa.madrid.org,-,Público,Primaria,40.4275446,-3.5377128,"Avenida De La Cañada, 44 "
1360,Madrid-Capital,28030113,CEPA,CULTURAL MORATALAZ,"Calle Del Corregidor Alonso De Tobar, 7 ",Madrid,Moratalaz,28030,914370219,914378411,cepa.moratalaz.madrid@educa.madrid.org,-,Público,Primaria,40.403854949999996,-3.649766357963663,"Calle Del Corregidor Alonso De Tobar, 7 "
1361,Madrid-Capital,28038689,CEPA,DAOIZ Y VELARDE,"Calle De Fernando Ortiz, 2 ",Madrid,Usera,28041,915651055,915697036,cepa.daoizyvelarde.madrid@educa.madrid.org,cepa.daoizyvelarde.madrid@educa.madrid.org,Público,Primaria,40.3671582,-3.7025802,"Calle De Fernando Ortiz, 2 "
1362,Madrid-Capital,28059361,CEPA,DISTRITO CENTRO,"Calle De San Bernardo (edificio I.e.s Lope De Vega), 70 ",Madrid,Centro,28015,915329959,915329959,cepa.centro.madrid@educa.madrid.org,-,Público,Primaria,N/A,N/A,"Calle De San Bernardo (edificio I.e.s Lope De Vega), 70 "
1363,Madrid-Este,28037892,CEPA,DON JUAN I,"Calle San Vidal, 6 ",Alcalá de Henares,-,28803,918815156,-,cepa.alcala@educa.madrid.org,-,Público,Primaria,40.4721134,-3.3719492,"Calle San Vidal, 6 "
1364,Madrid-Capital,28045347,CEPA,DULCE CHACON,"Calle De La Abertura, 2 ",Madrid,Hortaleza,28033,913811272,917630931,cepa.dulcechacon.madrid@educa.madrid.org,-,Público,Primaria,N/A,N/A,"Calle De La Abertura, 2 "
1365,Madrid-Este,28045359,CEPA,EL BUEN GOBERNADOR,"Calle San Fernando, S/n ",Torrejón de Ardoz,-,28850,916780048,-,cepa.torrejondeardoz@educa.madrid.org,-,Público,Primaria,40.4612251,-3.4900273,Calle San Fernando  
1366,Madrid-Oeste,28045281,CEPA,EL PONTON,"Calle Asturias, 3 ",Collado Villalba,-,28400,918517749,918515750,cepa.colladovillalba@educa.madrid.org,-,Público,Primaria,40.6288889,-4.0081649,"Calle Asturias, 3 "
1367,Madrid-Este,28042875,CEPA,ENRIQUE TIERNO GALVAN,"Calle Real, 94 ",Arganda del Rey,-,28500,918716668,918701683,cepa.arganda@educa.madrid.org,-,Público,Primaria,40.3664225,-3.3157292,"Calle Real, 94 "
1368,Madrid-Capital,28042954,CEPA,ENTREVIAS,"Calle De La Serena, 394 ",Madrid,Puente de Vallecas,28053,917861672,917852574,cepa.entrevias.madrid@educa.madrid.org,-,Público,Primaria,40.37667495,-3.6697364786864153,"Calle De La Serena, 394 "
1369,Madrid-Capital,28042942,CEPA,FUENCARRAL,"Calle De Braille, 10 ",Madrid,Fuencarral-El Pardo,28034,917364684,917340489,cepa.fuencarral.madrid@educa.madrid.org,-,Público,Primaria,40.4956649,-3.694777,"Calle De Braille, 10 "
1370,Madrid-Sur,28045414,CEPA,GLORIA FUERTES,"Calle De La Constitución, 22 ",Navalcarnero,-,28600,918110560,918115442,cepa.gloriafuertes.navalcarnero@educa.madrid.org,-,Público,Primaria,40.2812344,-3.7859614,"Calle De La Constitución, 22 "
1371,Madrid-Sur,28045438,CEPA,HERMANOS CORREA,"Calle De Cuba C/v Av. Hispanoamérica, S/n ",Valdemoro,-,28341,918084201,918956488,cepa.valdemoro@educa.madrid.org,-,Público,Primaria,N/A,N/A,Calle De Cuba C/v Av. Hispanoamérica  
1372,Madrid-Capital,28033311,CEPA,HORTALEZA-MAR AMARILLO,"Calle Del Mar Amarillo, 21 ",Madrid,Hortaleza,28033,917637790,913820234,cepa.maramarillo.madrid@educa.madrid.org,-,Público,Primaria,N/A,N/A,"Calle Del Mar Amarillo, 21 "
1373,Madrid-Capital,28046479,CEPA,JOAQUIN SOROLLA,"Calle De Alonso Heredia, 16 ",Madrid,Salamanca,28028,917261664,917256032,cepa.joaquinsorolla.madrid@educa.madrid.org,-,Público,Primaria,N/A,N/A,"Calle De Alonso Heredia, 16 "
1374,Madrid-Sur,28045372,CEPA,JOSE LUIS SAMPEDRO,"Avenida De Loyola, 23 ",Aranjuez,-,28300,918924585,918911166,cepa.aranjuez@educa.madrid.org,-,Público,Primaria,40.0282377,-3.611865,"Avenida De Loyola, 23 "
